id,color_side,color_top,WKT,lon,lat
282661976,蓝色,深蓝,"MultiPolygon (((24.97194364 60.18435221, 24.97206633 60.1842979, 24.97217423 60.18435817, 24.97205154 60.18441248, 24.97194364 60.18435221)))",24.972058934999996,60.184355190000005
281052087,蓝色,蓝色,"MultiPolygon (((24.97267996 60.17939562, 24.97301612 60.17931428, 24.97308788 60.17938762, 24.97275172 60.17946895, 24.97267996 60.17939562)))",24.972883922947908,60.17939161660885
280074250,灰色,绿色,"MultiPolygon (((24.95884879 60.19447226, 24.9587899 60.19450023, 24.95863182 60.19441799, 24.95869071 60.19439002, 24.95884879 60.19447226)))",24.958740305000006,60.194445124999994
280321975,深蓝,深蓝,"MultiPolygon (((24.92694895 60.15733872, 24.92701316 60.15729048, 24.92695465 60.15727119, 24.92709048 60.15716915, 24.92719115 60.15720233, 24.9271805 60.15721033, 24.92722038 60.15722347, 24.92719075 60.15724574, 24.92722171 60.15725594, 24.92706195 60.15737597, 24.92694895 60.15733872)))",24.927084010249242,60.157270811968274
279891940,深灰色,深蓝色,"MultiPolygon (((24.95740895 60.15185689, 24.95728771 60.15191307, 24.95721949 60.15187661, 24.95734073 60.15182042, 24.95740895 60.15185689)))",24.957314221014173,60.151866746561105
281171723,灰色,绿色,"MultiPolygon (((24.91117631 60.18835656, 24.91152574 60.18854077, 24.91139797 60.18860067, 24.91097827 60.18837942, 24.91105851 60.1883418, 24.91112878 60.18837884, 24.91117631 60.18835656)))",24.91126094318401,60.188467459761505
280878585,灰色,深灰色,"MultiPolygon (((24.90606515 60.19017658, 24.90602081 60.1901927, 24.90590321 60.19011281, 24.90594756 60.19009668, 24.90606515 60.19017658)))",24.90598417913361,60.19014469001287
280581558,灰色,灰色,"MultiPolygon (((24.91702426 60.1510564, 24.9170818 60.15104058, 24.91720101 60.15114797, 24.91714347 60.15116379, 24.91702426 60.1510564)))",24.91711264,60.15110218499999
281203662,黄色,灰色,"MultiPolygon (((24.91118258 60.15887768, 24.91107366 60.15900388, 24.91062754 60.15890855, 24.91073646 60.15878234, 24.91118258 60.15887768)))",24.9109050576612,60.15889311179674
280523185,深蓝,深灰,"MultiPolygon (((24.97072324 60.19546074, 24.97059564 60.19546242, 24.97058998 60.19535584, 24.97071757 60.19535416, 24.97072324 60.19546074)))",24.970656607550094,60.19540829069542
279802144,蓝灰相间条纹,蓝灰相间条纹,"MultiPolygon (((24.97654957 60.17754463, 24.97627828 60.17757097, 24.97603871 60.17696062, 24.97631001 60.17693428, 24.97654957 60.17754463)))",24.976294141756508,60.1772526231974
